CALLE,ALT PLANO,DIRECCION,coord_X,coord_Y,COMUNA,BARRIO,L1,l1_sen,L2,l2_sen,L3,l3_sen,L4,l4_sen,L5,l5_sen,L6,l6_sen
JUNIN,"1314",Junin 1314,-58.397151,-34.592848,"2",RECOLETA,"60",V,"101",V,,,,,,,,
PARAGUAY,"2522",Paraguay 2522,-58.403907,-34.597489,"2",RECOLETA,"140",V,,,,,,,,,,
PARAGUAY,"2512",Paraguay 2512,-58.4038,-34.597508,"2",RECOLETA,"111",V,,,,,,,,,,
PARAGUAY,"2340",Paraguay 2340,-58.401296,-34.597942,"2",RECOLETA,"111",V,,,,,,,,,,
PARAGUAY,"2322",Paraguay 2322,-58.400971,-34.597998,"2",RECOLETA,"106",I,"132",I,,,,,,,,
RODRIGUEZ PEÑA,"48",RodrÃ­guez peÃ±a 42,-58.390662,-34.608562,"1",SAN NICOLAS,"60",V,,,,,,,,,,
PRES. JOSE EVARISTO URIBURU,"1489","1489 URIBURU JOSE E., PRES.",-58.396845,-34.591465,"2",RECOLETA,"95",V,"101",I,,,,,,,,
PRES. JOSE EVARISTO URIBURU,"1287","Uriburu, J. Pte. 1287",-58.397519,-34.593111,"2",RECOLETA,"95",V,"101",I,,,,,,,,
ANA MARIA JANER,"2750","Janer, Ana 2750",-58.44364,-34.654759,"8",VILLA SOLDATI,"46",V,"76",I,,,,,,,,
ANA MARIA JANER,"2751","Janer, Ana 2751",-58.443448,-34.654357,"8",VILLA SOLDATI,"46",I,"76",V,,,,,,,,
PUEYRREDON AV.,,908 PUEYRREDON AV.,-58.404242,-34.599771,"3",BALVANERA,"101",V,"75",I,,,,,,,,
PUEYRREDON AV.,"966",Av. Pueyrredon 966,-58.40402,-34.599074,"3",BALVANERA,"62",I,"118",V,,,,,,,,
DIAZ COLODRERO,"2787",Diaz Colodrero 2787,-58.487772,-34.570851,"12",VILLA URQUIZA,"107",I,"169",V,,,,,,,,
DIAZ COLODRERO,"2791",Diaz Colodrero 2791,-58.487785,-34.570834,"12",VILLA URQUIZA,"71",I,"140",I,,,,,,,,
DIAZ COLODRERO,"3197",Diaz Colodrero 3197,-58.490694,-34.567174,"12",VILLA URQUIZA,"71",I,,,,,,,,,,
DIAZ COLODRERO,"3497",Diaz Colodrero 3497,-58.493194,-34.563859,"12",VILLA URQUIZA,"71",I,,,,,,,,,,
CONDARCO,"5810",CONDARCO 5810,-58.507888,-34.576148,"12",VILLA PUEYRREDON,"127",V,,,,,,,,,,
NAZARRE,"5895",NAZARRE 5895,-58.524506,-34.622871,"10",VILLA REAL,"47",I,"109",V,,,,,,,,
JUAN BAUTISTA ALBERDI AV.,"7193","Alberdi, Juan B. Av . 7193",-58.514122,-34.659978,"9",MATADEROS,"49",I,,,,,,,,,,
JUAN BAUTISTA ALBERDI AV.,"7189","Alberdi, Juan B. Av . 7189",-58.514076,-34.659952,"9",MATADEROS,"88",I,,,,,,,,,,
JUAN BAUTISTA ALBERDI AV.,"5522","Alberdi, Juan B. Av . 5522",-58.499917,-34.649338,"9",MATADEROS,"49",V,,,,,,,,,,
DE LOS CONSTITUYENTES AV.,"4575",Av. De los Constituyentes 4575,-58.492189,-34.581797,"12",VILLA URQUIZA,"111",I,,,,,,,,,,
CRISOLOGO LARRALDE AV.,"6091","6091  LARRALDE, CRISOLOGO AV.",-58.506337,-34.565926,"12",SAAVEDRA,"110",V,,,,,,,,,,
VIRREY VERTIZ AV.,"2085",Vertiz Virrey Av. 2085,-58.45027,-34.558509,"13",BELGRANO,"44",V,"65",V,,,,,,,,
VIRREY VERTIZ AV.,"2055",Vertiz Virrey Av. 2055,-58.449956,-34.558717,"13",BELGRANO,"80",I,"114",I,,,,,,,,
DE LOS CONSTITUYENTES AV.,"4089",Av. De los Constituyentes 4089,-58.488541,-34.584977,"15",PARQUE CHAS,"111",I,"123",I,,,,,,,,
EMILIO MITRE,"525",MITRE EMILIO 525,-58.443119,-34.627941,"6",CABALLITO,"26",V,"134",V,,,,,,,,
CATAMARCA,"300",CATAMARCA 300,-58.406552,-34.613614,"3",BALVANERA,"115",V,,,,,,,,,,
ANA MARIA JANER,"3000",Ana Maria Janer 3010,-58.446388,-34.656985,"8",VILLA SOLDATI,"46",V,,,,,,,,,,
CAPDEVILA,"2893",Capdevila 2893,-58.489503,-34.570693,"12",VILLA URQUIZA,"176",I,,,,,,,,,,
CAPDEVILA,"3187",Capdevila 3187,-58.491629,-34.567981,"12",VILLA URQUIZA,"176",I,,,,,,,,,,
CAPDEVILA,"3393",Capdevila 3393,-58.493332,-34.565768,"12",VILLA URQUIZA,"176",I,,,,,,,,,,
DONADO,"3026",Donado 3026,-58.481667,-34.564926,"12",VILLA URQUIZA,"71",V,,,,,,,,,,
DONADO,"3210",Donado 3210,-58.483024,-34.563126,"12",VILLA URQUIZA,"71",V,,,,,,,,,,
DONADO,"3418",Donado 3418,-58.484546,-34.561122,"12",VILLA URQUIZA,"71",V,,,,,,,,,,
HOLMBERG,"3395",Holmberg 3395,-58.48327,-34.560977,"12",VILLA URQUIZA,"71",I,,,,,,,,,,
PUEYRREDON AV.,"520",Pueyrredon Av. 520,-58.405474,-34.604213,"3",BALVANERA,"132",V,,,,,,,,,,
ANA MARIA JANER,"2997","Janer, Ana MarÃ­a 2997 e/Lafuente Av.",-58.446186,-34.656581,"8",VILLA SOLDATI,"46",I,"76",V,,,,,,,,
CHORROARIN AV.,"599",Av. Chorroarin 599,-58.474069,-34.590016,"15",PARQUE CHAS,"113",V,,,,,,,,,,
HOLMBERG,"3045",HOLMBERG 3045,-58.481045,-34.564524,"12",VILLA URQUIZA,"71",I,,,,,,,,,,
GAVILAN,"1816",GAVILAN 1816,-58.470587,-34.609909,"11",VILLA GRAL MITRE,"113",I,,,,,,,,,,
LISANDRO DE LA TORRE AV.,"3010","DE LA TORRE, LISANDRO AV. 2889",-58.495007,-34.666765,"9",MATADEROS,"80",V,,,,,,,,,,
